"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"1",2024,"2024-06-28",12,"MorumBIS"," Bruno Pereira Vasconcelos",28008,72039,"São Paulo","Criciúma EC","Luis Zubeldía","Cláudio Tencati",9,12,28.95,4.43,30.1,31.5,2,1,2,0,2,2,10,22,21,9,0,4,1,0,13,10,4,6
"2",2024,"2024-11-26",35,"Estádio Jornalista Mário Filho"," Luiz Flávio de Oliveira ",41240,82238,"Fluminense","Criciúma EC","Mano Menezes","Cláudio Tencati",15,17,37.25,5.25,31.6,30.6,0,0,0,0,9,4,6,15,13,6,3,3,2,2,19,10,10,5
"3",2024,"2024-07-28",20,"Estádio Alfredo Jaconi "," João Vitor Gobi",6564,23726,"Juventude","Criciúma EC","Jair Ventura","Cláudio Tencati",14,11,8.45,5.45,28.8,30.6,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2024,"2024-04-27",4,"Estádio São Januário"," Caio Max Augusto Vieira",17124,24584,"Vasco da Gama","Criciúma EC","Ramón Díaz","Cláudio Tencati",17,10,30.15,5.75,28.4,31.3,0,4,0,1,5,4,13,7,7,13,6,5,0,2,21,17,8,5
"5",2024,"2024-07-17",17,"Neo Química Arena "," Jonathan Benkenstein Pinheiro",43241,NA,"Corinthians","Criciúma EC","Ramón Díaz","Cláudio Tencati",17,13,47,5.9,26.4,30.6,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2023,"2023-04-15",1,"Allianz Parque","Paulo Cesar Zanovelli",35835,NA,"Palmeiras","Cuiabá-MT","Abel Ferreira","Ivo Vieira",4,15,84.2,5.93,26.8,29.6,2,1,1,1,4,4,23,12,12,21,3,3,3,2,17,12,7,6
"7",2024,"2024-07-20",18,"Estádio Nacional de Brasília Mané Garrincha"," Maguielson Lima Barbosa",60127,78838,"Flamengo","Criciúma EC","Tite","Cláudio Tencati",3,14,110.4,6,28.5,30.3,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2024,"2024-04-18",2,"Arena MRV"," Paulo Belence Alves dos Prazeres Filho",24613,46000,"Atlético-MG","Criciúma EC","Gabriel Milito","Cláudio Tencati",14,13,48,6.28,28.9,31.2,1,1,1,0,9,2,12,10,10,10,0,5,2,0,22,5,8,4
"9",2024,"2024-08-10",22,"Estádio Governador Plácido Castelo"," Kleber Ariel Gonçalves da Silva",40311,60326,"Fortaleza","Criciúma EC","Juan Pablo Vojvoda","Cláudio Tencati",3,12,11.45,6.3,30,30.8,1,0,0,0,4,6,16,13,13,16,2,3,2,1,16,12,7,7
"10",2023,"2023-09-16",23,"Arena Pantanal","Bruno Arleu de Araújo",8509,42968,"Cuiabá-MT","América-MG","Toni Oliveira","Fabián Bustos",11,19,9.2,6.35,29,29.4,2,2,2,2,9,1,11,18,17,11,1,6,3,1,20,7,6,3
"11",2024,"2024-11-06",32,"Estádio Beira-Rio"," Felipe Fernandes",29097,50848,"Internacional","Criciúma EC","Roger Machado","Cláudio Tencati",5,16,43.8,6.7,27.2,30.6,2,0,1,0,7,3,15,13,13,14,4,7,2,4,20,5,5,1
"12",2023,"2023-09-16",23,"Allianz Parque","Savio Pereira Sampaio",38146,43713,"Palmeiras","Goiás","Abel Ferreira","Armando Evangelista",2,16,70.5,6.73,28.8,28.7,1,0,0,0,6,3,12,19,19,12,3,5,2,5,18,8,10,3
"13",2024,"2024-06-14",8,"Ligga Arena"," Jonathan Benkenstein Pinheiro",23424,42372,"Athletico-PR","Criciúma EC","Cuca","Cláudio Tencati",4,13,28.45,6.88,28.1,30.9,3,1,1,1,5,3,9,12,10,9,3,4,2,3,23,12,10,5
"14",2023,"2023-12-06",38,"Estádio Serra Dourada","Davi de Oliveira Lacerda",1966,14525,"Goiás","América-MG","Mário Henrique","Diogo Giacomini",18,20,10.35,6.9,27.6,27.1,1,0,1,0,8,7,12,13,12,12,3,1,3,2,14,11,9,5
"15",2023,"2023-06-10",10,"Neo Química Arena ","André Luiz Skettino Policarpo Bento",40512,49205,"Corinthians","Cuiabá-MT","Vanderlei Luxemburgo","Toni Oliveira",16,14,36.25,7.08,26.2,27.9,1,1,0,0,8,6,11,13,13,10,1,6,1,1,24,10,10,3
"16",2023,"2023-12-03",37,"Estádio Jornalista Mário Filho","Rodrigo Jose Pereira de Lima",63148,78838,"Flamengo","Cuiabá-MT","Tite","Toni Oliveira",3,12,90.3,7.08,29.2,29,2,1,2,0,6,2,13,9,9,13,0,4,0,1,19,2,7,0
