Time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total_Participacoes
Flamengo,8.0,11.0,15.0,11.0,3.0,5.0,1.0,14.0,4.0,11.0,16.0,10.0,12.0,3.0,6.0,2.0,1.0,1.0,2.0,5.0,4.0,6.0,22
Fluminense,19.0,9.0,15.0,15.0,4.0,14.0,16.0,1.0,3.0,1.0,15.0,6.0,13.0,13.0,14.0,12.0,14.0,5.0,7.0,3.0,7.0,15.0,22
São Paulo,3.0,1.0,11.0,1.0,1.0,1.0,3.0,9.0,6.0,4.0,9.0,2.0,4.0,10.0,13.0,5.0,6.0,4.0,13.0,9.0,11.0,6.0,22
Athletico-PR,12.0,2.0,6.0,13.0,12.0,13.0,14.0,5.0,17.0,,3.0,8.0,10.0,6.0,11.0,7.0,5.0,9.0,14.0,8.0,8.0,14.0,21
Atlético-MG,7.0,19.0,20.0,,8.0,12.0,7.0,13.0,15.0,2.0,8.0,5.0,2.0,4.0,9.0,6.0,13.0,3.0,1.0,7.0,3.0,10.0,21
Corinthians,15.0,5.0,1.0,9.0,17.0,,10.0,3.0,1.0,6.0,10.0,4.0,1.0,7.0,1.0,8.0,8.0,12.0,5.0,4.0,13.0,9.0,21
Internacional,6.0,8.0,2.0,2.0,11.0,6.0,2.0,7.0,5.0,10.0,13.0,3.0,5.0,17.0,,3.0,7.0,2.0,12.0,2.0,9.0,3.0,21
Palmeiras,16.0,4.0,4.0,16.0,7.0,4.0,5.0,10.0,11.0,18.0,,16.0,9.0,1.0,2.0,1.0,3.0,7.0,3.0,1.0,1.0,2.0,21
Santos,2.0,2.0,10.0,4.0,2.0,15.0,12.0,8.0,10.0,8.0,7.0,9.0,7.0,2.0,3.0,10.0,2.0,8.0,10.0,12.0,17.0,,21
Botafogo,13.0,20.0,9.0,12.0,9.0,7.0,15.0,6.0,9.0,7.0,4.0,19.0,,5.0,10.0,9.0,15.0,20.0,,11.0,5.0,1.0,20
Grêmio,20.0,24.0,,3.0,6.0,2.0,8.0,4.0,12.0,3.0,2.0,7.0,3.0,9.0,4.0,4.0,4.0,6.0,17.0,,2.0,11.0,20
Cruzeiro,1.0,13.0,8.0,10.0,5.0,3.0,4.0,2.0,16.0,9.0,1.0,1.0,8.0,12.0,5.0,8.0,17.0,,,,14.0,7.0,19
Vasco,17.0,16.0,12.0,6.0,10.0,18.0,,11.0,2.0,5.0,18.0,,18.0,,7.0,16.0,12.0,17.0,,,15.0,16.0,17
Goiás,9.0,6.0,3.0,8.0,16.0,8.0,9.0,19.0,,20.0,6.0,12.0,19.0,,,,10.0,18.0,,13.0,18.0,,16
Coritiba,5.0,12.0,19.0,,,9.0,17.0,,8.0,13.0,11.0,15.0,15.0,15.0,20.0,,,15.0,19.0,,19.0,,15
Bahia,24.0,,,,,,,,14.0,15.0,12.0,20.0,,,12.0,11.0,11.0,14.0,18.0,,16.0,8.0,12
Figueirense,11.0,14.0,16.0,7.0,13.0,17.0,,,7.0,20.0,,13.0,16.0,18.0,,,,,,,,,11
Sport,,,,,14.0,11.0,20.0,,,17.0,,11.0,6.0,14.0,15.0,18.0,,15.0,19.0,,,,11
Vitória,16.0,23.0,,,,10.0,13.0,17.0,,,5.0,17.0,,16.0,11.0,19.0,,,,,,20.0,11
Fortaleza,23.0,,13.0,18.0,,,,,,,,,,,,,9.0,16.0,4.0,8.0,10.0,4.0,9
Ponte Preta,21.0,10.0,18.0,17.0,,,,,,14.0,19.0,,11.0,8.0,19.0,,,,,,,,9
Atlético-GO,,,,,,,,16.0,13.0,19.0,,,,,20.0,,,13.0,9.0,18.0,,20.0,8
Juventude,18.0,7.0,14.0,14.0,18.0,,,,,,,,,,,,,,16.0,20.0,,13.0,8
Avaí,,,,,,,6.0,15.0,20.0,,,,17.0,,18.0,,20.0,,,19.0,,,7
Ceará,,,,,,,,12.0,15.0,,,,,,,15.0,13.0,11.0,11.0,17.0,,,7
Chapecoense,,,,,,,,,,,,15.0,14.0,11.0,8.0,14.0,19.0,,20.0,,,,7
América-MG,,,,,,,,,19.0,,,,,20.0,,17.0,,,8.0,10.0,20.0,,6
Paraná,10.0,15.0,7.0,5.0,19.0,,,,,,,,,,,20.0,,,,,,,6
Bragantino,,,,,,,,,,,,,,,,,,10.0,6.0,14.0,6.0,17.0,5
Criciúma,14.0,21.0,,,,,,,,,14.0,20.0,,,,,,,,,,12.0,5
Náutico,,,,,15.0,16.0,19.0,,,12.0,20.0,,,,,,,,,,,,5
Cuiabá,,,,,,,,,,,,,,,,,,,15.0,16.0,12.0,19.0,4
São Caetano,4.0,5.0,17.0,19.0,,,,,,,,,,,,,,,,,,,4
Guarani,13.0,22.0,,,,,,18.0,,,,,,,,,,,,,,,3
Paysandu,22.0,14.0,21.0,,,,,,,,,,,,,,,,,,,,3
Portuguesa,,,,,,19.0,,,,16.0,17.0,,,,,,,,,,,,3
Grêmio Barueri,,,,,,,11.0,20.0,,,,,,,,,,,,,,,2
Santa Cruz,,,,20.0,,,,,,,,,,19.0,,,,,,,,,2
América-RN,,,,,20.0,,,,,,,,,,,,,,,,,,1
Brasiliense,,,22.0,,,,,,,,,,,,,,,,,,,,1
CSA,,,,,,,,,,,,,,,,,18.0,,,,,,1
Ipatinga,,,,,,20.0,,,,,,,,,,,,,,,,,1
Joinville,,,,,,,,,,,,,20.0,,,,,,,,,,1
Santo André,,,,,,,18.0,,,,,,,,,,,,,,,,1
