,Ano,Time,Total_Viagens_KM,Media_Viagem_KM,Jogos_Fora
1,2003,Paysandu,55967.0277351736,2433.34903196407,23
2,2003,Fortaleza,53085.7562259148,2308.07635764847,23
3,2003,Bahia,34431.1516565636,1497.00659376363,23
4,2003,Vitoria,34431.1516565636,1497.00659376363,23
5,2003,Gremio,26119.8357918257,1135.64503442721,23
6,2003,Internacional,26119.8357918257,1135.64503442721,23
7,2003,Goias,24808.9414489313,1078.64962821441,23
8,2003,Juventude,24545.6765637092,1067.20332885692,23
9,2003,Criciuma,22197.5895786825,965.1125903775,23
10,2003,Figueirense,20038.1233849617,871.222755867898,23
11,2003,Atletico-MG,19062.4569451958,828.802475878077,23
12,2003,Cruzeiro,19062.4569451958,828.802475878077,23
13,2003,Flamengo,17914.7115536234,778.900502331451,23
14,2003,Fluminense,17914.7115536234,778.900502331451,23
15,2003,Vasco,17914.7115536234,778.900502331451,23
16,2003,Athletico-PR,17821.1168806111,774.831168722221,23
17,2003,Coritiba,17821.1168806111,774.831168722221,23
18,2003,Parana,17821.1168806111,774.831168722221,23
19,2003,Guarani,15732.1041023438,684.004526188862,23
20,2003,Ponte Preta,15732.1041023438,684.004526188862,23
21,2003,Santos,15725.8172190284,683.731183436017,23
22,2003,Sao Caetano,15508.3039075665,674.274082937673,23
23,2003,Corinthians,15484.3808468899,673.23394986478,23
24,2003,Sao Paulo,15484.3808468899,673.23394986478,23
25,2004,Paysandu,58063.8377244552,2524.51468367196,23
26,2004,Vitoria,36068.1425727167,1568.18011185725,23
27,2004,Goias,23473.784070435,1020.59930741022,23
28,2004,Gremio,22574.2174505976,981.487715243375,23
29,2004,Internacional,22574.2174505976,981.487715243375,23
30,2004,Juventude,21018.2603050892,913.837404569096,23
31,2004,Criciuma,18638.8168863278,810.383342883817,23
32,2004,Atletico-MG,17031.8569763082,740.515520709052,23
33,2004,Cruzeiro,17031.8569763082,740.515520709052,23
34,2004,Figueirense,16482.3110777175,716.622220770326,23
35,2004,Botafogo-RJ,14871.022072552,646.566177067479,23
36,2004,Flamengo,14871.022072552,646.566177067479,23
37,2004,Fluminense,14871.022072552,646.566177067479,23
38,2004,Vasco,14871.022072552,646.566177067479,23
39,2004,Athletico-PR,14376.8077805315,625.078599153542,23
40,2004,Coritiba,14376.8077805315,625.078599153542,23
41,2004,Parana,14376.8077805315,625.078599153542,23
42,2004,Guarani,12459.920633833,541.735679731869,23
43,2004,Ponte Preta,12459.920633833,541.735679731869,23
44,2004,Santos,12244.7749638394,532.381520166931,23
45,2004,Sao Caetano,12038.9573738911,523.432929299614,23
46,2004,Corinthians,12015.4638757538,522.411472858861,23
47,2004,Palmeiras,12015.4638757538,522.411472858861,23
48,2004,Sao Paulo,12015.4638757538,522.411472858861,23
49,2005,Paysandu,50490.092601702,2404.29012389057,21
50,2005,Fortaleza,48731.4658825144,2320.54599440545,21
51,2005,Internacional,23979.3931248367,1141.87586308746,21
52,2005,Juventude,22360.0678682391,1064.76513658281,21
53,2005,Brasiliense,21373.2810520934,1017.77528819492,21
54,2005,Goias,20720.2920517481,986.680573892769,21
55,2005,Figueirense,17663.4867360297,841.118416001414,21
56,2005,Atletico-MG,15656.8663717514,745.565065321493,21
57,2005,Cruzeiro,15656.8663717514,745.565065321493,21
58,2005,Athletico-PR,15079.7574899283,718.083689996587,21
59,2005,Coritiba,15079.7574899283,718.083689996587,21
60,2005,Parana,15079.7574899283,718.083689996587,21
61,2005,Botafogo-RJ,14368.2808165494,684.203848407116,21
62,2005,Flamengo,14368.2808165494,684.203848407116,21
63,2005,Fluminense,14368.2808165494,684.203848407116,21
64,2005,Vasco,14368.2808165494,684.203848407116,21
65,2005,Ponte Preta,12577.3955288378,598.923596611322,21
66,2005,Santos,12521.4710355676,596.260525503219,21
67,2005,Sao Caetano,12266.7254831485,584.129784911835,21
68,2005,Corinthians,12236.4715512839,582.689121489709,21
69,2005,Palmeiras,12236.4715512839,582.689121489709,21
70,2005,Sao Paulo,12236.4715512839,582.689121489709,21
71,2006,Fortaleza,45179.1061511465,2377.84769216561,19
72,2006,Santa Cruz,40809.2669608764,2147.8561558356,19
73,2006,Goias,20537.4068806776,1080.91615161461,19
74,2006,Gremio,20256.672598952,1066.14066310274,19
75,2006,Internacional,20256.672598952,1066.14066310274,19
76,2006,Juventude,19015.6674993443,1000.82460522865,19
77,2006,Figueirense,15196.5615791274,799.819030480389,19
78,2006,Cruzeiro,15085.4390403529,793.970475808047,19
79,2006,Athletico-PR,13516.8838246644,711.414938140229,19
80,2006,Parana,13516.8838246644,711.414938140229,19
81,2006,Botafogo-RJ,12960.7285979238,682.143610417044,19
