estado,jogos,Vitoria,Empate,Derrota,pontos_ganhos,pontos_disputados,aproveitamento_pct
SP,4179,1680,1164,1335,6204,12537,49.49
RJ,3001,1157,816,1028,4287,9003,47.62
RS,1833,746,478,609,2716,5499,49.39
MG,1765,700,447,618,2547,5295,48.1
PR,1586,563,384,639,2073,4758,43.57
SC,1167,328,325,514,1309,3501,37.39
GO,865,276,224,365,1052,2595,40.54
BA,855,267,227,361,1028,2565,40.08
PE,684,200,159,325,759,2052,36.99
CE,599,191,176,232,749,1797,41.68
MT,142,39,45,58,162,426,38.03
PA,114,36,26,52,134,342,39.18
DF,38,9,12,17,39,114,34.21
AL,38,8,8,22,32,114,28.07
RN,38,4,5,29,17,114,14.91
